# z  nz0 nz1 nz2 nz3 nz4
1.625000000000000000e+00 2.436459979252795366e-04 2.527339789336158042e-04 8.404199139340353222e-05 6.893179280234599995e-04 6.774013313083676994e+07
1.635000000000000231e+00 2.432151151148312634e-04 2.542922960543968561e-04 7.991023184935258173e-05 6.840933014995731216e-04 6.087317317438435555e+07
1.645000000000000018e+00 2.328742654211130871e-04 2.439811084747680887e-04 7.304384052501326340e-05 6.605184058065276167e-04 4.112704721717237681e+07
1.655000000000000249e+00 1.910138488088014802e-04 2.018472400996728440e-04 6.651578319970841168e-05 5.865221249257499946e-04 2.709823920651528612e+07
1.665000000000000036e+00 1.073490466605760157e-04 1.181836915199304869e-04 5.897310150498335943e-05 3.461747433639535457e-04 1.959517723083997518e+07
1.674999999999999822e+00 5.923408783533800438e-05 7.728858735425840631e-05 5.257651574831125881e-05 2.298575284517117298e-04 1.487526579794062488e+07
1.685000000000000053e+00 5.011840834290108153e-05 6.864267346972512151e-05 4.801569747373182599e-05 2.253028593300337589e-04 1.268046824356711656e+07
1.694999999999999840e+00 5.273215843864119710e-05 7.198449059343234096e-05 4.610662926557077121e-05 2.265960667858023085e-04 1.241698774640309811e+07
1.705000000000000071e+00 7.000843547215345223e-05 7.747765795952874239e-05 4.693203549556483151e-05 2.355298550869449638e-04 1.488363740554480813e+07
1.714999999999999858e+00 1.061567057097349983e-04 9.164064595715581713e-05 4.834121787585666911e-05 2.607309717427362780e-04 2.086937316160286963e+07
1.725000000000000089e+00 1.299008558316326536e-04 9.791928490185474821e-05 5.007527636862341841e-05 2.688402631328566574e-04 2.783997740877981111e+07
1.734999999999999876e+00 1.367909547693442029e-04 9.848433557396084554e-05 5.081131699209592801e-05 2.687740625286231199e-04 3.149451177908449247e+07
1.745000000000000107e+00 1.394917353568157466e-04 9.922695346346513791e-05 4.992165961972618872e-05 2.704843026278513614e-04 2.904138525058680773e+07
1.754999999999999893e+00 1.423731196507069588e-04 1.089599954116276072e-04 4.856069593744456346e-05 2.746878643506869117e-04 2.528778917909011245e+07
1.765000000000000124e+00 1.494741799815308715e-04 1.293479142736099789e-04 4.601215836637938993e-05 2.898652956010412478e-04 2.336734828861385584e+07
1.774999999999999911e+00 1.476947407621010452e-04 1.399753565043476364e-04 4.300929683729008706e-05 2.902033152783050902e-04 2.136138464540972188e+07
1.785000000000000142e+00 1.469672420882129650e-04 1.410286230878563950e-04 4.162187426213451603e-05 2.887377084251950901e-04 2.049014077951198816e+07
1.794999999999999929e+00 1.491966603920838583e-04 1.402664116720779661e-04 4.136482910852112268e-05 2.857868233108498386e-04 2.123334170047197863e+07
1.805000000000000160e+00 1.540049317443527451e-04 1.404671768095290898e-04 4.105067652059583876e-05 2.764447807718389306e-04 2.327035106507685781e+07
1.814999999999999947e+00 1.672140591674550357e-04 1.426610906265030824e-04 4.117436322945594210e-05 2.574166199860205878e-04 2.564666194616165012e+07
1.825000000000000178e+00 1.705137204357417017e-04 1.410744083917539113e-04 4.124705924034916449e-05 2.513294047865798574e-04 2.675500518515302241e+07
1.834999999999999964e+00 1.669458596847264774e-04 1.387080959162944119e-04 4.046709863825999885e-05 2.459956206365959816e-04 2.541673242825447023e+07
1.845000000000000195e+00 1.600285994643597639e-04 1.329765416078616499e-04 3.883868532982820947e-05 2.405276574090558866e-04 2.220168510070560127e+07
1.854999999999999982e+00 1.383066393827099853e-04 1.099130801396918148e-04 3.580010197514630688e-05 2.160941631427676412e-04 1.786053805342910811e+07
1.865000000000000213e+00 9.961703953884818005e-05 6.672304274210567659e-05 3.333526019049373528e-05 1.518891345996557980e-04 1.331213743115279078e+07
1.875000000000000000e+00 6.917477247107621204e-05 4.488112448703043817e-05 3.082063748372908008e-05 1.078795745028177024e-04 9.744513236842811108e+06
1.885000000000000231e+00 5.513516700108189484e-05 3.687387956734430319e-05 2.825640003404387981e-05 1.046233696448579671e-04 7.514515459199524485e+06
1.895000000000000018e+00 5.432347922153407964e-05 3.869079167129587852e-05 2.752738086776632364e-05 1.015416764583955471e-04 6.404516530804926530e+06
1.905000000000000249e+00 5.716275905506446888e-05 4.573351619772668430e-05 2.828402250953058819e-05 1.019708552862497430e-04 6.101700329466480762e+06
1.915000000000000036e+00 6.528425050621891146e-05 5.696972392314739631e-05 2.909711672276521797e-05 1.109193688133335378e-04 6.426489176250256598e+06
